kodekec,namakec
01,Setu
02,Cibarusah
03,Kedung Waringin
04,Cibitung
05,Babelan
06,Taruma Jaya
07,Tambelang
08,Sukatani
09,Pebayuran
10,Cabangbungin
11,Muara Gembong
12,Tambun Selatan
13,Tambun Utara
14,Cikarang Barat
15,Karang Bahagia
16,Cikarang Utara
17,Cikarang Selatan
18,Cikarang Timur
19,Bojong Mangu
20,Cikarang Pusat
21,Sukakarya
22,Sukawangi
23,Serang Baru
