kodekec,namakec
01,Sagalaherang
02,Jalancagak
03,Cisalak
04,Tanjungsiang
05,Cijambe
06,Cibogo
07,Subang
08,Kalijati
09,Cipeundeuy
10,Pabuaran
11,Patokbeusi
12,Purwadadi
13,Cikaum
14,Pagaden
15,Cipunagara
16,Compreng
17,Binong
18,Ciasem
19,Pamanukan
20,Pusakanagara
21,Legon Kulon
22,Blanakan
23,Dawuan
24,Serangpanjang
25,Kasomalang
26,Tambakdahan
27,Pagaden Barat
28,Pusakajaya
29,Ciater
30,Sukasari
