kodekec,namakec
01,Ciwidey
02,Pasirjambu
03,Cimaung
04,Pangalengan
05,Kertasari
06,Pacet
07,Ibun
08,Paseh
09,Cikancung
10,Cicalengka
11,Rancaekek
12,Majalaya
13,Ciparay
14,Baleendah
15,Arjasari
16,Banjaran
17,Pameungpeuk
18,Katapang
19,Soreang
20,Margaasih
21,Margahayu
22,Dayeuhkolot
23,Bojongsoang
24,Cileunyi
25,Cilengkrang
26,Cimenyan
27,Rancabali
28,Nagreg
29,Solokanjeruk
30,Cangkuang
31,Kutawaringin
