kodekec,namakec
01,Waled
02,Ciledug
03,Losari
04,Babakan
05,Karang Sembung
06,Lemah Abang
07,Sedong
08,Astana Japura
09,Mundu
10,Beber
11,Sumber
12,Palimanan
13,Plumbon
14,Weru
15,Kapetakan
16,Klangenan
17,Arjawinangun
18,Ciwaringin
19,Susukan
20,Gegesik
21,Susukan Lebak
22,Pabedilan
23,Dukupuntang
24,Panguragan
25,Kaliwedi
26,Pangenan
27,Gebang
28,Depok
29,Kedawung
30,Karangwareng
31,Talun
32,Gunung Jati
33,Pasaleman
34,Pabuaran
35,Tengah Tani
36,Plered
37,Gempol
38,Greged
39,Suranenggala
40,Jamblang
