kodekec,namakec
01,Jatiluhur
02,Maniis
03,Tegalwaru
04,Plered
05,Sukatani
06,Darangdan
07,Bojong
08,Wanayasa
09,Pasawahan
10,Purwakarta
11,Campaka
12,Sukasari
13,Kiarapedes
14,Babakancikao
15,Cibatu
16,Bungursari
17,Pondok Salam
