kodekec,namakec
01,Darma
02,Kadugede
03,Ciniru
04,Selajambe
05,Subang
06,Ciwaru
07,Cibingbin
08,Luragung
09,Cidahu
10,Ciawigebang
11,Lebakwangi
12,Garawangi
13,Kuningan
14,Cigugur
15,Kramatmulya
16,Jalaksana
17,Cilimus
18,Mandirancan
19,Pasawahan
20,Pancalang
21,Cipicung
22,Kalimanggis
23,Japara
24,Karangkancana
25,Nusaherang
26,Cilebak
27,Hantara
28,Cimahi
29,Cibeureum
30,Sindangagung
31,Maleber
32,Cigandamekar
