kodekec,namakec
01,Talegong
02,Cisewu
03,Bungbulang
04,Pamulihan
05,Pakenjeng
06,Cikelet
07,Pameungpeuk
08,Cibalong
09,Cisompet
10,Peundeuy
11,Singajaya
12,Cikajang
13,Banjarwangi
14,Cilawu
15,Bayongbong
16,Cisurupan
17,Samarang
18,Garut Kota
19,Karangpawitan
20,Wanaraja
21,Sukawening
22,Banyuresmi
23,Leles
24,Leuwigoong
25,Cibatu
26,Cibiuk
27,Kadungora
28,Blubur Limbangan
29,Selaawi
30,Malangbong
31,Mekarmukti
32,Caringin
33,Cihurip
34,Sukaresmi
35,Pasirwangi
36,Karangtengah
37,Kersamanah
38,Tarogong Kaler
39,Tarogong Kidul
40,Cigedug
41,Sucinaraja
42,Pangatikan
