kodekec,namakec
01,Jatinangor
02,Cimanggung
03,Tanjungsari
04,Rancakalong
05,Sumedang Selatan
06,Sumedang Utara
07,Situraja
08,Darmaraja
09,Cibugel
10,Wado
11,Tomo
12,Ujungjaya
13,Conggeang
14,Paseh
15,Cimalaka
16,Tanjungkerta
17,Buahdua
18,Ganeas
19,Jatigede
20,Pamulihan
21,Cisitu
22,Jatinunggal
23,Cisarua
24,Tanjungmedar
25,Surian
26,Sukasari
