kodekec,namakec
01,Agrabinta
02,Sindang Barang
03,Cidaun
04,Naringgul
05,Cibinong
06,Tanggeung
07,Kadupandak
08,Takokak
09,Sukanagara
10,Pagelaran
11,Campaka
12,Cibeber
13,Warungkondang
14,Cilaku
15,Sukaluyu
16,Ciranjang
17,Mande
18,Karang Tengah
19,Cianjur
20,Cugenang
21,Pacet
22,Sukaresmi
23,Cikalong Kulon
24,Bojong Picung
25,Campaka Mulya
26,Cikadu
27,Leles
28,Cijati
29,Gekbrong
30,Cipanas
31,Haurwangi
32,Pasirkuda
