kodekec,namakec
01,Pondokgede
02,Jatiasih
03,Bantargebang
04,Bekasi Timur
05,Bekasi Selatan
06,Bekasi Barat
07,Bekasi Utara
08,Jati Sampurna
09,Medan Satria
10,Rawalumbu
11,Mustika Jaya
12,Pondok Melati
